,Title
62,"**To Abu Musa \(\`Abdullah ibn Qays\) al\-Ash\`ari, Governor of Kufa when Imam Ali ibn Abu Talib \(x\) learned that he was dissuading the people of Kufa from joining the forces to fight the battle of Jamal when Imam Ali ibn Abu Talib \(x\) had called them to fight along with him**:"
63,**Replying to Mu\`awiyah**\.
64,**To Mu\`awiyah**
65,**To Abdullah ibn Abbas**
66,"**To Qutham ibn al\-Abbas, his Governor over Mecca**"
67,**To Salman al\-Farisi Prior to Imam Ali ibn Abu Talib’s Caliphate**:
68,"**To al\-Harith \(ibn Abdillah, al\-A\`war\) al\-Hamdani**:"
69,"**To Sahl Ibn Hunayf al\-Ansari, His Governor over Medina, about Certain Persons in Medina Who Had Joined Mu\`awiyah**"
70,"**To Mundhir ibn Jarud al\-Abdi Who, in His Administrative Charge, Had Misappropriated Certain Things:**"
71,**To Abdullah ibn Abbas**:
72,**To Mu\`awiyah**:
73,**Written by Imam Ali Ibn Abu Talib \(x\) as a Protocol Between**
74,"**To Mu\`awiyah, Soon after Imam Ali Ibn Abu Talib \(x\) Was**"
75,**Given to Abdullah ibn Abbas at the time of his appointment at his Governor of Basra**:
76,**To Abdullah ibn Abbas at the Time of His Deputation to**
77,**To Abu Musa al\-Ash\`ari in Reply to the Latter’s Letter Regarding the Two Arbitrators\. Sa’id ibn Yahya al\-Umawi Has Mentioned this in His Akitab Al\-Maghazi**:
78,**To the Army Officers When Imam Ali Ibn Abu Talib \(x\)**
